ccn,facility_name,measure_abbr,score,type
011500,BAPTIST HOSPICE,beliefs_addressed,304,denominator
011500,BAPTIST HOSPICE,beliefs_addressed,100,observed
011500,BAPTIST HOSPICE,composite_process,304,denominator
011500,BAPTIST HOSPICE,composite_process,89.8,observed
011500,BAPTIST HOSPICE,dyspena_treatment,172,denominator
011500,BAPTIST HOSPICE,dyspena_treatment,98.3,observed
011500,BAPTIST HOSPICE,dyspnea_screening,304,denominator
011500,BAPTIST HOSPICE,dyspnea_screening,100,observed
011500,BAPTIST HOSPICE,opioid_bowel,86,denominator
011500,BAPTIST HOSPICE,opioid_bowel,100,observed
011500,BAPTIST HOSPICE,pain_assessment,180,denominator
011500,BAPTIST HOSPICE,pain_assessment,99.4,observed
011500,BAPTIST HOSPICE,pain_screening,304,denominator
011500,BAPTIST HOSPICE,pain_screening,91.1,observed
011500,BAPTIST HOSPICE,treat_pref,304,denominator
011500,BAPTIST HOSPICE,treat_pref,100,observed
011500,BAPTIST HOSPICE,NA,340,denominator
011500,BAPTIST HOSPICE,NA,NA,denominator
011500,BAPTIST HOSPICE,NA,187,denominator
011500,BAPTIST HOSPICE,NA,49,denominator
011500,BAPTIST HOSPICE,NA,49,denominator
011500,BAPTIST HOSPICE,NA,49,denominator
011500,BAPTIST HOSPICE,NA,49,denominator
011500,BAPTIST HOSPICE,NA,556,denominator
011500,BAPTIST HOSPICE,NA,NA,denominator
011500,BAPTIST HOSPICE,NA,NA,denominator
011500,BAPTIST HOSPICE,NA,476,denominator
011500,BAPTIST HOSPICE,NA,70,observed
011500,BAPTIST HOSPICE,NA,9,observed
011500,BAPTIST HOSPICE,NA,1.4,observed
011500,BAPTIST HOSPICE,NA,35.3,observed
011500,BAPTIST HOSPICE,NA,12.2,observed
011500,BAPTIST HOSPICE,NA,14.3,observed
011500,BAPTIST HOSPICE,NA,10.2,observed
011500,BAPTIST HOSPICE,NA,10.2,observed
011500,BAPTIST HOSPICE,NA,NA,observed
011500,BAPTIST HOSPICE,NA,16.1,observed
011500,BAPTIST HOSPICE,NA,9.4,observed
011500,BAPTIST HOSPICE,NA,94.7,observed
011500,BAPTIST HOSPICE,NA,89,percentile
011500,BAPTIST HOSPICE,NA,25,percentile
011500,BAPTIST HOSPICE,NA,83,percentile
011500,BAPTIST HOSPICE,NA,8,percentile
011500,BAPTIST HOSPICE,NA,67,percentile
011500,BAPTIST HOSPICE,NA,98,percentile
011500,BAPTIST HOSPICE,NA,5,percentile
011500,BAPTIST HOSPICE,NA,79,percentile
011500,BAPTIST HOSPICE,NA,65,percentile
011500,BAPTIST HOSPICE,NA,64,percentile
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,beliefs_addressed,905,denominator
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,beliefs_addressed,100,observed
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,composite_process,905,denominator
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,composite_process,100,observed
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,dyspena_treatment,729,denominator
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,dyspena_treatment,100,observed
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,dyspnea_screening,905,denominator
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,dyspnea_screening,100,observed
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,opioid_bowel,238,denominator
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,opioid_bowel,100,observed
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,pain_assessment,582,denominator
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,pain_assessment,100,observed
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,pain_screening,905,denominator
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,pain_screening,100,observed
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,treat_pref,905,denominator
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,treat_pref,100,observed
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,910,denominator
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,NA,denominator
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,NA,denominator
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,340,denominator
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,340,denominator
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,340,denominator
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,340,denominator
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,NA,denominator
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,NA,denominator
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,NA,denominator
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,NA,denominator
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,69.8,observed
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,9,observed
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,0.4,observed
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,47.7,observed
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,4.4,observed
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,46.8,observed
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,25.6,observed
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,3.2,observed
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,NA,observed
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,10.3,observed
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,6,observed
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,94.8,observed
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,76,percentile
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,43,percentile
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,31,percentile
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,83,percentile
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,98,percentile
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,73,percentile
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,58,percentile
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,22,percentile
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,24,percentile
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,NA,65,percentile
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,beliefs_addressed,439,denominator
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,beliefs_addressed,100,observed
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,composite_process,439,denominator
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,composite_process,99.3,observed
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,dyspena_treatment,350,denominator
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,dyspena_treatment,99.1,observed
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,dyspnea_screening,439,denominator
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,dyspnea_screening,100,observed
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,opioid_bowel,46,denominator
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,opioid_bowel,100,observed
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,pain_assessment,185,denominator
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,pain_assessment,100,observed
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,pain_screening,439,denominator
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,pain_screening,100,observed
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,treat_pref,439,denominator
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,treat_pref,100,observed
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,584,denominator
011502,COMFORT CARE COASTAL HOSPICE - BALDWIN,NA,NA,denominator
