fish,station,seen
4842,Release,1
4842,I80_1,1
4842,Lisbon,1
4842,Rstr,1
4842,Base_TD,1
4842,BCE,1
4842,BCW,1
4842,BCE2,1
4842,BCW2,1
4842,MAE,1
4842,MAW,1
4843,Release,1
4843,I80_1,1
4843,Lisbon,1
4843,Rstr,1
4843,Base_TD,1
4843,BCE,1
4843,BCW,1
4843,BCE2,1
4843,BCW2,1
4843,MAE,1
4843,MAW,1
4844,Release,1
4844,I80_1,1
4844,Lisbon,1
4844,Rstr,1
4844,Base_TD,1
4844,BCE,1
4844,BCW,1
4844,BCE2,1
4844,BCW2,1
4844,MAE,1
4844,MAW,1
4845,Release,1
4845,I80_1,1
4845,Lisbon,1
4845,Rstr,1
4845,Base_TD,1
4847,Release,1
4847,I80_1,1
4847,Lisbon,1
4848,Release,1
4848,I80_1,1
4848,Lisbon,1
4848,Rstr,1
4849,Release,1
4849,I80_1,1
4850,Release,1
4850,I80_1,1
4850,Rstr,1
4850,Base_TD,1
4850,BCE,1
4850,BCW,1
4851,Release,1
4851,I80_1,1
4854,Release,1
4854,I80_1,1
4855,Release,1
4855,I80_1,1
4855,Lisbon,1
4855,Rstr,1
4855,Base_TD,1
4857,Release,1
4857,I80_1,1
4857,Lisbon,1
4857,Rstr,1
4857,Base_TD,1
4857,BCE,1
4857,BCW,1
4857,BCE2,1
4857,BCW2,1
4858,Release,1
4858,I80_1,1
4858,Lisbon,1
4858,Rstr,1
4858,Base_TD,1
4858,BCE,1
4858,BCW,1
4858,BCE2,1
4858,BCW2,1
4858,MAE,1
4858,MAW,1
4859,Release,1
4859,I80_1,1
4859,Lisbon,1
4859,Rstr,1
4859,Base_TD,1
4861,Release,1
4861,I80_1,1
4861,Lisbon,1
4861,Rstr,1
4861,Base_TD,1
4861,BCE,1
4861,BCW,1
4861,BCE2,1
4861,BCW2,1
4861,MAE,1
4861,MAW,1
4862,Release,1
4862,I80_1,1
4862,Lisbon,1
4862,Rstr,1
4862,Base_TD,1
4862,BCE,1
4862,BCW,1
4862,BCE2,1
4862,BCW2,1
4863,Release,1
4863,I80_1,1
4864,Release,1
4864,I80_1,1
4865,Release,1
4865,I80_1,1
4865,Lisbon,1
