GEOID,NAME,variable,estimate,moe
01,Alabama,income,24476,136
01,Alabama,rent,747,3
02,Alaska,income,32940,508
02,Alaska,rent,1200,13
04,Arizona,income,27517,148
04,Arizona,rent,972,4
05,Arkansas,income,23789,165
05,Arkansas,rent,709,5
06,California,income,29454,109
06,California,rent,1358,3
08,Colorado,income,32401,109
08,Colorado,rent,1125,5
09,Connecticut,income,35326,195
09,Connecticut,rent,1123,5
10,Delaware,income,31560,247
10,Delaware,rent,1076,10
11,District of Columbia,income,43198,681
11,District of Columbia,rent,1424,17
12,Florida,income,25952,70
12,Florida,rent,1077,3
13,Georgia,income,27024,106
13,Georgia,rent,927,3
15,Hawaii,income,32453,218
15,Hawaii,rent,1507,18
16,Idaho,income,25298,208
16,Idaho,rent,792,7
17,Illinois,income,30684,83
17,Illinois,rent,952,3
18,Indiana,income,27247,117
18,Indiana,rent,782,3
19,Iowa,income,30002,143
19,Iowa,rent,740,4
20,Kansas,income,29126,208
20,Kansas,rent,801,5
21,Kentucky,income,24702,159
21,Kentucky,rent,713,4
22,Louisiana,income,25086,155
22,Louisiana,rent,825,4
23,Maine,income,26841,187
23,Maine,rent,808,7
24,Maryland,income,37147,152
24,Maryland,rent,1311,5
25,Massachusetts,income,34498,199
25,Massachusetts,rent,1173,5
26,Michigan,income,26987,82
26,Michigan,rent,824,3
27,Minnesota,income,32734,189
27,Minnesota,rent,906,4
28,Mississippi,income,22766,194
28,Mississippi,rent,740,5
29,Missouri,income,26999,113
29,Missouri,rent,784,4
30,Montana,income,26249,206
30,Montana,rent,751,9
31,Nebraska,income,30020,146
31,Nebraska,rent,773,4
32,Nevada,income,29019,213
32,Nevada,rent,1017,6
33,New Hampshire,income,33172,387
33,New Hampshire,rent,1052,9
34,New Jersey,income,35075,148
34,New Jersey,rent,1249,4
35,New Mexico,income,24457,214
35,New Mexico,rent,809,6
36,New York,income,31057,69
36,New York,rent,1194,3
37,North Carolina,income,26482,111
37,North Carolina,rent,844,3
38,North Dakota,income,32336,245
38,North Dakota,rent,775,9
39,Ohio,income,27435,94
39,Ohio,rent,764,2
40,Oklahoma,income,26207,101
40,Oklahoma,rent,766,3
41,Oregon,income,27389,146
41,Oregon,rent,988,4
42,Pennsylvania,income,28923,119
42,Pennsylvania,rent,885,3
44,Rhode Island,income,30210,259
44,Rhode Island,rent,957,6
45,South Carolina,income,25454,123
45,South Carolina,rent,836,4
46,South Dakota,income,28821,276
46,South Dakota,rent,696,7
47,Tennessee,income,25453,102
47,Tennessee,rent,808,4
48,Texas,income,28063,110
48,Texas,rent,952,2
49,Utah,income,27928,239
49,Utah,rent,948,6
50,Vermont,income,29351,361
50,Vermont,rent,945,11
51,Virginia,income,32545,202
51,Virginia,rent,1166,5
53,Washington,income,32318,113
53,Washington,rent,1120,4
54,West Virginia,income,23707,203
54,West Virginia,rent,681,6
55,Wisconsin,income,29868,135
55,Wisconsin,rent,813,3
56,Wyoming,income,30854,342
56,Wyoming,rent,828,11
72,Puerto Rico,income,NA,NA
72,Puerto Rico,rent,464,6
