country,indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,SP.URB.TOTL,41625,42025,42194,42277,42317,42399,42555,42729,42906,43079,43206,43493,43864,44228,44588,44943,45297,45648
ABW,SP.URB.GROW,1.66422212392663,0.956373099407145,0.401335154395215,0.196517211141057,0.0945693618486456,0.193588048559493,0.367257987480091,0.408048969163451,0.413382967375507,0.402396309678717,0.294373510368369,0.662063111068539,0.849393249627712,0.826413457840807,0.810669184722173,0.793025567597756,0.784578492708788,0.771898934070187
ABW,SP.POP.TOTL,89101,90691,91781,92701,93540,94483,95606,96787,97996,99212,100341,101288,102112,102880,103594,104257,104874,105439
ABW,SP.POP.GROW,2.53923444445246,1.76875662143885,1.19471805545637,0.997395547284924,0.900989229759957,1.00307718391638,1.18156554573069,1.22771081489399,1.24139737678817,1.23323132057229,1.13154104048985,0.939355909629835,0.810230587788097,0.749301039347625,0.691615260101675,0.63795916173479,0.590062487333077,0.537295706145068
AFE,SP.URB.TOTL,115551653,119775502,124227507,128833965,133647466,138745587,144026740,149231302,155383774,161776165,168456076,175415651,182558745,190108665,198073341,206556291,215083329,223732118
AFE,SP.URB.GROW,3.60226233978761,3.65537739213475,3.7169579134805,3.70808213997242,3.73620496737797,3.81460356307841,3.80635745913851,3.61360813971072,4.1227757967293,4.11393727635938,4.12910702883826,4.13138852884119,4.07209616660715,4.1356112521479,4.1895386514865,4.28273181901848,4.12819089591419,4.02113406009259
AFE,SP.POP.TOTL,401600588,412001885,422741118,433807484,445281555,457153837,469508516,482406426,495748900,509410477,523459657,537792950,552530654,567891875,583650827,600008150,616377331,632746296
AFE,SP.POP.GROW,2.5835792421522,2.58996060035651,2.60659802563768,2.617764283814,2.64496843028186,2.66624158730311,2.70252112091536,2.74710885116298,2.76581597609149,2.75574529766985,2.75792914247424,2.73818484544645,2.74040483423965,2.78015724354725,2.7749916302289,2.80258713657233,2.72815977582972,2.6556727797635298
AFG,SP.URB.TOTL,4314700,4364773,4674867,5061866,5299549,5542073,5828215,5987030,6162823,6443215,6691382,7004588,7360701,7687539,8043935,8371880,8665979,8999963
AFG,SP.URB.GROW,1.86137729962901,1.15383861520503,6.86345297807244,7.95344768841497,4.58865325754718,4.47468958963317,5.03421600301046,2.68846842633562,2.89394890008399,4.44926873597444,3.77927906385172,4.57449331406255,4.95898098432825,4.34455335199728,4.53176850303214,3.99600796676125,3.45264290630202,3.7815566165204
AFG,SP.POP.TOTL,19542982,19688632,21000256,22645130,23553551,24411191,25442944,25903301,26427199,27385307,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418
AFG,SP.POP.GROW,1.4438030241194,0.742516834396313,6.44932147797304,7.54101896480183,3.93317768847308,3.57650800354462,4.13967803534352,1.79319572747206,2.00233326232255,3.56128837446668,2.89490410370988,3.68950830230738,4.07762772858795,3.46678830410982,3.65757606530364,3.12134122890873,2.58154939895659,2.86649214750073
AFW,SP.URB.TOTL,95272890,99624942,104163982,108909607,113875177,119079574,124507242,130133054,135972155,142060079,148404549,154982054,161743874,168643432,175773257,183117253,190684610,198494008
AFW,SP.URB.GROW,4.14518949083499,4.56798570926105,4.55612812301563,4.55591741874845,4.55934984688724,4.57026468551614,4.55801764960965,4.51846166506525,4.48702371958471,4.47733140656629,4.46604707294298,4.43214513592842,4.3629696635715,4.26573064522988,4.22775136597078,4.17810770838707,4.13251994338295,4.09545269542204
AFW,SP.POP.TOTL,269611898,277160097,284952322,292977949,301265247,309824829,318601484,327612838,336893835,346475221,356337762,366489204,376797999,387204553,397855507,408690375,419778384,431138704
AFW,SP.POP.GROW,2.74959971917366,2.79965352270915,2.8114526890211,2.81648064619036,2.82864223341259,2.84121122009138,2.83277974471181,2.8284092989347,2.83291615086219,2.84403720240236,2.8465357411519,2.84882577221777,2.81285093462125,2.76183897675104,2.75073056798483,2.72331733741717,2.71305851036988,2.70626607586351
AGO,SP.URB.TOTL,8211294,8686629,9189142,9722803,10291645,10892537,11444951,12028087,12642253,13287180,13967811,14683555,15432363,16211664,17017877,17845914,18702478,19586972
AGO,SP.URB.GROW,5.64866955326432,5.62744231595919,5.62376227868434,5.64513817273351,5.68584496286432,5.67454748217163,4.94707962134254,4.96958261730382,4.98001182832443,4.97550440874176,4.99558074843681,4.9972692003532,4.97386377959222,4.92641852853657,4.85333965972379,4.75101946993626,4.68814539911162,4.6208622901601
AGO,SP.POP.TOTL,16394062,16941587,17516139,18124342,18771125,19450959,20162340,20909684,21691522,22507674,23364185,24259111,25188292,26147002,27128337,28127721,29154746,30208628
AGO,SP.POP.GROW,3.24412146672851,3.28521723299089,3.33513160843876,3.41332121240757,3.50638882370405,3.55765898910381,3.5920133134417,3.63958930439587,3.67090920225351,3.69348247645612,3.73479765843852,3.75879638504539,3.75870252194126,3.73552542857565,3.68442896683492,3.61767751762095,3.58621100683242,3.5509866361995
ALB,SP.URB.TOTL,1289391,1298584,1327220,1354848,1381828,1407298,1430886,1452398,1473392,1495260,1519519,1546929,1575788,1603505,1630119,1654503,1680247,1706345
ALB,SP.URB.GROW,0.742478629285177,0.710442617598151,2.18120890441126,2.06027418181457,1.97179893742068,1.82642935665107,1.66222789724062,1.49221506952818,1.43512421072918,1.47328791317413,1.60937326447224,1.78778378467889,1.84837893643447,1.74363937043308,1.64611599636276,1.48476433256912,1.54401448032371,1.54128496391169
ALB,SP.POP.TOTL,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457
ALB,SP.POP.GROW,-0.637356833943492,-0.93847042771206,-0.299876697084691,-0.374149169291299,-0.417931377925999,-0.511790116421897,-0.630911244851673,-0.75571875541991,-0.767342959142321,-0.673894046451936,-0.49646196338738,-0.269017331764615,-0.165151040121679,-0.183211384606402,-0.207046999760594,-0.291205786840436,-0.159880412127734,-0.0919722937442495
AND,SP.URB.TOTL,61070,62432,64927,67408,69817,72071,72044,69810,67692,65663,63522,62611,62940,63186,63342,63384,64015,65087
AND,SP.URB.GROW,0.377327984395132,2.20572172056573,3.91855974083943,3.75001433875657,3.51138278860428,3.17742111163013,-0.037470076419389,-3.1499777492501,-3.08092614364707,-3.0432403598387,-3.31492983581545,-1.44453210701534,0.524091011711652,0.39008659902542703,0.246585860909757,0.0662847427328072,0.990596723520156,1.66074055947853
AND,SP.POP.TOTL,66097,67820,70849,73907,76933,79826,80221,78168,76055,73852,71519,70567,71013,71367,71621,71746,72540,73837
AND,SP.POP.GROW,0.670960073758389,2.57337766489402,4.36937150135481,4.2256694355319,4.01273671344563,3.69143527252581,0.493606005740852,-2.59249693414403,-2.74035938783357,-2.93936722302096,-3.20999418688968,-1.34005355374823,0.630034574524577,0.497261875887559,0.355274942185653,0.174377690367456,1.10060298979862,1.77218271287863
ARB,SP.URB.TOTL,152305719,156476716,160709287,165028788,169454014,174496874,180242023,186027900,192585424,199211212,205465837,210892180,216302063,222497540,228834568,235145769,241256824,247298631
ARB,SP.URB.GROW,2.76137514575139,2.73856886490258,2.70492064774672,2.68777310921678,2.68148730511189,2.97594602863759,3.29240797746326,3.21005995366575,3.52502178436676,3.44044105850918,3.13969526976223,2.64099525216935,2.56523641606816,2.86427087845205,2.84813396139121,2.75797535973675,2.59883689423303,2.5043051217486
ARB,SP.POP.TOTL,287065982,293512340,300018650,306573087,313249616,320558754,328703057,337498222,346630443,355754908,364427661,372351065,380383408,389131555,397922915,406501999,415077960,423664839
ARB,SP.POP.GROW,2.28593431739384,2.24560150077274,2.21670748153213,2.18467651927638,2.17779357781657,2.33332704229076,2.54065842793987,2.67571743331854,2.70585751411751,2.63233226748061,2.43784493340004,2.1742048828725,2.15719619332899,2.29982349808486,2.25922567497771,2.15596631322425,2.10969712845126,2.06873884607124
ARE,SP.URB.TOTL,2627996,2785983,2945695,3106888,3269387,3521630,4048888,4875629,5827655,6693200,7132067,7239445,7343475,7444846,7543693,7639464,7731918,7821224
ARE,SP.URB.GROW,6.11272936104507,5.83791948495437,5.57440090696271,5.32767996564432,5.09809234355025,7.43214450465337,13.9518324907705,18.5806846251198,17.8365567832908,13.8477396037629,6.35090085977911,1.49434517646557,1.42676178340442,1.3709817063756,1.31898690128519,1.26155937378637,1.20295123638322,1.14841080350245
ARE,SP.POP.TOTL,3275333,3454198,3633655,3813443,3993339,4280993,4898954,5872624,6988685,7992644,8481771,8575205,8664969,8751847,8835951,8916899,8994263,9068296
ARE,SP.POP.GROW,5.58038700101525,5.31707596147158,5.06487258360989,4.82934268529322,4.609526743863,6.95572689795874,13.4836720911499,18.1279839755253,17.3990859957442,13.4229206026704,5.93976536580988,1.09556271332912,1.04134460783085,0.997641825826328,0.956397623844095,0.911950036242349,0.863868922846647,0.819744473334198
ARG,SP.URB.TOTL,33045629,33480950,33910889,34330154,34747780,35175563,35608120,36034446,36459843,36897033,37055902,37543830,38027774,38509756,38990109,39467043,39940546,40410674
ARG,SP.URB.GROW,1.34664689815167,1.30873169770709,1.27595518811745,1.22879210827292,1.20915917460343,1.22359234802314,1.22220931788621,1.19016125791417,1.17361488361579,1.19196781572589,0.429649599145157,1.30814131603172,1.28077370283392,1.25948243003778,1.2396386789085,1.21579706300955,1.19260291906809,1.17019595911431
ARG,SP.POP.TOTL,37070774,37480493,37885028,38278164,38668796,39070501,39476851,39876111,40273769,40684338,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811
ARG,SP.POP.GROW,1.13327702210541,1.0991714603689,1.07353834961783,1.03236085902218,1.01533668354561,1.03347622351885,1.03467173566483,1.00629733064648,0.992294094354656,1.01428389337816,0.255582398485167,1.15305928006386,1.13690569378967,1.11910919999772,1.09946109101836,1.07800134449604,1.05718157762752,1.03713389686514
ARM,SP.URB.TOTL,2048957,2017268,1994552,1978050,1963242,1948348,1932078,1914970,1898649,1883514,1869128,1855213,1843080,1832631,1823893,1815962,1807826,1799649
ARM,SP.URB.GROW,-1.61037490478258,-1.55867624443429,-1.13246570248286,-0.83079527809499,-0.751432255097974,-0.761535435957295,-0.838572638294868,-0.889415093262459,-0.855937609056045,-0.80033995301265,-0.766716914319411,-0.74724976842942,-0.656142903197955,-0.568544597024387,-0.477941161241734,-0.435787280070284,-0.449033644936831,-0.453337251352094
ARM,SP.POP.TOTL,3168523,3133133,3105037,3084102,3065745,3047246,3026486,3004393,2983421,2964296,2946293,2928976,2914421,2901385,2889930,2878595,2865835,2851923
