Date,Individual,Captured
28-May-13,R..RR,1
28-May-13,R.R.R,1
28-May-13,R.RR.,1
28-May-13,RR..R,1
28-May-13,RR.R.,1
28-May-13,RRR..,1
29-May-13,..OOO,1
29-May-13,OO...,1
29-May-13,OO..O,1
29-May-13,OO.O.,1
29-May-13,OOO..,1
29-May-13,RR.R.,1
30-May-13,BB.B.,1
30-May-13,BBBB.,1
30-May-13,RR.R.,1
11-Jun-13,..BB.,1
11-Jun-13,.B.B.,1
11-Jun-13,B...B,1
11-Jun-13,B.B.B,1
11-Jun-13,B.BB.,1
11-Jun-13,BB..B,1
12-Jun-13,..BBB,1
12-Jun-13,.B.BB,1
12-Jun-13,.BB.B,1
12-Jun-13,.BBB.,1
12-Jun-13,B..BB,1
12-Jun-13,BB...,1
12-Jun-13,BBBB.,1
12-Jun-13,R.R..,1
12-Jun-13,RR...,1
12-Jun-13,RR..B,1
12-Jun-13,RR.B.,1
12-Jun-13,RRB..,1
13-Jun-13,.OOO.,1
13-Jun-13,O..OO,1
13-Jun-13,O.O.O,1
13-Jun-13,O.OO.,1
18-Jun-13,OO.O.,1
18-Jun-13,RR.R.,1
18-Jun-13,YYB..,1
19-Jun-13,..B..,1
19-Jun-13,..B.Y,1
19-Jun-13,..BBY,1
19-Jun-13,..OOO,1
19-Jun-13,..Y..,1
19-Jun-13,..Y.B,1
19-Jun-13,.B...,1
19-Jun-13,.B.BB,1
19-Jun-13,.B.BY,1
19-Jun-13,.BB.Y,1
19-Jun-13,.BBY.,1
19-Jun-13,.BYB.,1
19-Jun-13,B..BY,1
19-Jun-13,B..YB,1
19-Jun-13,B.B.Y,1
19-Jun-13,B.BY.,1
19-Jun-13,B.Y.B,1
19-Jun-13,B.YB.,1
19-Jun-13,BB..Y,1
19-Jun-13,BB.Y.,1
19-Jun-13,BBBB.,1
19-Jun-13,BBY..,1
19-Jun-13,BY..B,1
19-Jun-13,O..OO,1
19-Jun-13,O.OO.,1
19-Jun-13,OO...,1
19-Jun-13,OOO..,1
19-Jun-13,RRB..,1
20-Jun-13,..B.Y,1
20-Jun-13,..YYB,1
20-Jun-13,.Y.YB,1
20-Jun-13,.YB.Y,1
20-Jun-13,.YY.B,1
20-Jun-13,.YYB.,1
